0.9
node parent1 parent2 dist pt eta phi m
395 388 392 0.652306581881 135.904153267 1.09496733466 2.08367051626 163.227205998
388 365 386 0.548203724581 101.638581245 1.37797139729 2.32246294579 85.0129752728
365 146 356 0.277285324979 1.03530977839 3.46955681541 1.7619768444 2.90291969615
146 -1 -1 0 0.0570526013164 4.18146387481 1.19775029506 0
356 141 355 0.207061612867 0.987571576754 3.39769835622 1.79287530523 2.72742340807
141 -1 -1 0 0.0759420506891 4.02206880397 1.89444819854 0
355 123 271 0.21222144657 0.912053445949 3.32231030914 1.78443228198 2.51984770813
123 -1 -1 0 0.671843560081 3.18134443533 1.90812211441 0
271 104 118 0.0375944125806 0.258966258864 3.56054468055 1.45862420184 1.51772704503
104 -1 -1 0 0.162265323876 3.56374659332 1.42348926784 0.13957
118 -1 -1 0 0.0969687536622 3.55238752519 1.51744001606 0.93827
386 379 381 0.476806574677 100.763180243 1.30519810844 2.32792497398 76.7613399226
379 333 369 0.352325694917 96.6693732048 1.2493468466 2.15038678413 45.5417229835
333 195 250 0.121387964224 1.76885585219 1.81197286479 0.920488594988 1.67110469387
195 -1 -1 0 0.443262544851 1.55099402349 0.857559756689 0.13957
250 167 169 0.0250132796605 1.32676355458 1.88582009791 0.941500358235 1.45442594031
167 -1 -1 0 0.583276550231 1.87747030389 0.910003563951 0.49368
169 -1 -1 0 0.74400307692 1.89166130827 0.966191345653 0.93827
369 351 368 0.30631690018 96.0924468168 1.22513207784 2.16773622545 40.4840601301
351 337 350 0.18658251077 14.3569476023 1.33133758604 2.99703378597 6.83307563497
337 66 336 0.118709976203 2.01286439887 1.73635982761 2.71716444925 0.738895663633
66 -1 -1 0 0.325136504935 1.99875395436 2.57110926454 0.13957
336 80 267 0.128194942832 1.69185152099 1.67508225884 2.74513699119 0.546850878213
80 -1 -1 0 0.262210859388 1.61047995295 2.41006047008 0.13957
267 67 86 0.0354578284888 1.44679519851 1.67539265681 2.80477011799 0.301398276287
67 -1 -1 0 0.965722278467 1.66398513689 2.83396857834 0.13957
86 -1 -1 0 0.482309293668 1.69553260063 2.74628134593 0.13957
350 322 338 0.193449980392 12.4348377279 1.24260875271 3.04176288774 5.30023523611
322 168 315 0.0966181833071 2.53410189541 1.56670735366 -2.939938189 1.57480277205
168 -1 -1 0 0.867575284912 1.71676370966 -2.99321246798 0.93827
315 58 79 0.0837288576516 1.6683971969 1.47852982429 -2.91224484744 0.337973420255
58 -1 -1 0 1.10609724633 1.43524670007 -2.97568619956 0.13957
79 -1 -1 0 0.568863918216 1.54841682748 -2.78865804392 0.13957
338 65 327 0.128362368976 10.0432602269 1.13103176321 2.96676966317 2.76276248363
65 -1 -1 0 0.970533818029 0.993038121443 2.60248420085 0.13957
327 270 326 0.105515413599 9.1429552665 1.13864919804 3.00459834633 2.30272350171
270 57 186 0.0371276512899 1.43702126055 0.87496414901 2.90591796061 0.156874234418
57 -1 -1 0 1.28208641648 0.886916392915 2.91018120937 0.13957
186 -1 -1 0 0.155042870671 0.77164315282 2.87065694185 0
326 304 310 0.106320428464 7.71422430469 1.18140638992 3.02295193846 1.84642520661
304 72 299 0.0642768664409 4.88251076444 1.11600581195 3.10348401275 0.872488900316
72 -1 -1 0 0.365042778471 1.31073747831 -3.1234252475 0.13957
299 92 285 0.0619398558557 4.51809253195 1.09870253508 3.09893953 0.647991001985
92 -1 -1 0 1.53044839659 1.06873624472 -3.08053111711 0
285 241 251 0.0493879756166 3.00005507886 1.11044349905 3.04610074298 0.448038974519
241 76 84 0.0200367374252 1.66505265444 1.13406763181 3.09004495467 0.245956390309
76 -1 -1 0 0.559909212682 1.11146799737 3.11677868055 0.13957
84 -1 -1 0 1.10544483315 1.14513875202 3.07650548772 0
251 75 91 0.0251567627806 1.33860980736 1.07819646955 2.99143034654 0.168243573863
75 -1 -1 0 0.970624187806 1.09223219079 2.97870728899 0.13957
91 -1 -1 0 0.368271281804 1.0398072532 3.02496890963 0
310 74 293 0.0743460429053 2.87449844933 1.2735905689 2.88588230089 0.67250010654
74 -1 -1 0 0.927034415538 1.37599211886 2.96768016317 0
293 235 257 0.0584925996695 1.95203376861 1.2195196267 2.84706948798 0.49763883571
235 18 73 0.0177613526993 0.325391097317 1.07529716444 2.79972129105 0.175013275786
18 -1 -1 0 0.122996694836 1.05694027378 2.82061592477 0
73 -1 -1 0 0.202437562143 1.08615442056 2.78702674521 0.13957
257 83 85 0.0301930540203 1.62708023187 1.24618549016 2.85653500511 0.154158504371
83 -1 -1 0 0.148752199038 1.28593312837 2.77378195612 0
85 -1 -1 0 1.47888818941 1.24179007824 2.86484922045 0.13957
368 343 344 0.301280779098 87.0421800455 1.15341243739 2.04579629373 14.8630534258
343 122 194 0.154360253949 0.263575486571 2.46846110766 2.15790752212 0.182525356906
122 -1 -1 0 0.0752809754245 2.72242042661 2.29245291814 0
194 -1 -1 0 0.189244483297 2.34101455488 2.10452168315 0.13957
344 17 341 0.155395878212 86.7802642653 1.14564406762 2.04545649401 13.0160197353
17 -1 -1 0 0.133629720163 1.84896719203 2.13833735628 0
341 199 335 0.144351615883 86.6472114194 1.14413693629 2.04531345644 12.7612873585
199 -1 -1 0 0.512421640024 0.619184884296 1.73896587874 0.13957
335 185 298 0.128009853614 86.1587859922 1.14649092675 2.04710706717 11.8675516322
185 -1 -1 0 1.07131308978 1.4149811063 1.61577407937 0
298 243 289 0.0614566421557 85.1867727513 1.14174021984 2.05236491232 10.7255229321
243 166 174 0.0215313997788 3.0404796933 1.1471586577 1.83330002771 0.670950776561
166 -1 -1 0 1.86780186255 1.15828352688 1.85049903622 0.49368
174 -1 -1 0 1.17339385504 1.12873328446 1.80592067 0.13957
289 266 280 0.0544072801601 82.2216121883 1.14079246141 2.06040118005 9.29735612799
